Time,Temperature - E+R IAQ 3 F,Humidity - E+R IAQ 3 %,Carbon Dioxide (CO2) - E+R IAQ 3 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 3 ppb,Particulate Matter (PM2.5) - E+R IAQ 3 ug/m3,Particulate Matter (PM10) - E+R IAQ 3 ug/m3,Formaldehyde (HCHO) - E+R IAQ 3 mg/m3,Carbon Monoxide (CO) - E+R IAQ 3 ppm,Temperature - E+R IAQ 8 F,Humidity - E+R IAQ 8 %,Carbon Dioxide (CO2) - E+R IAQ 8 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 8 ppb,Particulate Matter (PM2.5) - E+R IAQ 8 ug/m3,Particulate Matter (PM10) - E+R IAQ 8 ug/m3,Formaldehyde (HCHO) - E+R IAQ 8 mg/m3,Carbon Monoxide (CO) - E+R IAQ 8 ppm,Temperature - E+R IAQ 1 F,Humidity - E+R IAQ 1 %,Carbon Dioxide (CO2) - E+R IAQ 1 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 1 ppb,Particulate Matter (PM2.5) - E+R IAQ 1 ug/m3,Particulate Matter (PM10) - E+R IAQ 1 ug/m3,Formaldehyde (HCHO) - E+R IAQ 1 mg/m3,Carbon Monoxide (CO) - E+R IAQ 1 ppm,Temperature - E+R IAQ 5 F,Humidity - E+R IAQ 5 %,Carbon Dioxide (CO2) - E+R IAQ 5 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 5 ppb,Particulate Matter (PM2.5) - E+R IAQ 5 ug/m3,Particulate Matter (PM10) - E+R IAQ 5 ug/m3,Formaldehyde (HCHO) - E+R IAQ 5 mg/m3,Carbon Monoxide (CO) - E+R IAQ 5 ppm,Temperature - E+R IAQ 11 F,Humidity - E+R IAQ 11 %,Carbon Dioxide (CO2) - E+R IAQ 11 ppm,Volatile Organic Compounds (VOC) - E+R IAQ 11 ppb,Particulate Matter (PM2.5) - E+R IAQ 11 ug/m3,Particulate Matter (PM10) - E+R IAQ 11 ug/m3,Formaldehyde (HCHO) - E+R IAQ 11 mg/m3,Carbon Monoxide (CO) - E+R IAQ 11 ppm,Temperature - E+R  IAQ 10 F,Humidity - E+R  IAQ 10 %,Carbon Dioxide (CO2) - E+R  IAQ 10 ppm,Volatile Organic Compounds (VOC) - E+R  IAQ 10 ppb,Particulate Matter (PM2.5) - E+R  IAQ 10 ug/m3,Particulate Matter (PM10) - E+R  IAQ 10 ug/m3,Formaldehyde (HCHO) - E+R  IAQ 10 mg/m3,Carbon Monoxide (CO) - E+R  IAQ 10 ppm
9/22/2023 12:40,,,,,,,,,73.44804651,58.19563293,576,1646,32,37,0.164,4.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2023 12:45,,,,,,,,,73.49630945,57.80844116,598,1279,27,31,0.097,3.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2023 12:50,,,,,,,,,73.43839392,57.27438354,573,669,29,33,0.011,3.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2023 12:55,,,,,,,,,73.42874133,57.36784363,591,518,31,35,0.005,2.55,79.38921436,59.19317627,358,3,18,19,0.01,29.031,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2023 13:00,,,,,,,,,73.48665686,57.27819824,599,409,30,34,0.002,1.995,79.04172119,59.51361084,393,6,17,18,0.01,17.757,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2023 13:05,,,,,,,,,73.49148315,57.76075745,593,285,29,32,0.004,1.625,78.99345825,59.5632019,416,7,17,18,0.013,11.924,,,,,,,,,,,,,,,,,77.35251831,52.68721008,703,0,91,94,0.008,85.017
9/22/2023 13:10,,,,,,,,,73.48665686,57.45939636,583,260,30,34,0.008,1.289,78.97897937,59.54031372,433,11,17,18,0.018,8.72,,,,,,,,,,,,,,,,,75.01659204,54.60409546,510,1,96,100,0,21.624
9/22/2023 13:15,,,,,,,,,73.41908875,58.09835815,584,261,28,31,0.016,1.031,78.99828455,59.33622742,446,17,18,19,0.02,6.657,,,,,,,,,,,,,,,,,74.26851648,55.51008606,478,16,115,121,0.001,11.342
9/22/2023 13:20,77.71449036,46.08396912,859,0,267,304,0.007,,73.42391504,57.90953064,585,244,28,31,0.017,0.789,79.0320686,59.16265869,458,27,17,17,0.02,5.242,,,,,,,,,,,,,,,,,74.04650696,56.23106384,493,38,116,122,0.002,7.612
9/22/2023 13:25,75.72605725,48.36515808,728,0,255,286,0.002,18.232,73.34186804,58.11933899,591,237,26,29,0.02,0.594,79.0320686,59.01197815,471,36,16,17,0.02,4.167,,,,,,,,,,,,,,,,,74.04168066,57.22669983,505,73,129,137,0.007,5.721
9/22/2023 13:30,74.52431006,48.72564697,734,0,217,249,0,10.184,73.30325769,58.26811218,604,225,25,27,0.02,0.416,79.0320686,58.83459473,485,42,16,16,0.02,3.35,,,,,,,,,,,,,,,,,74.17681689,56.87002563,515,13,92,97,0,4.198
9/22/2023 13:35,74.19129578,49.40657043,752,0,194,215,0,6.851,73.35152063,58.32723999,620,195,22,24,0.02,0.286,79.0368949,58.63241577,498,49,16,16,0.02,2.685,,,,,,,,,,,,,,,,,74.34573718,56.77275085,506,6,86,90,0,3.31
